n;Pber(Sn>x);Cramer;Gamma*;Central_limit;1-Normal.
100;0.499;-0.00657394;-0;1;0.999968.
100;0.4611;-0.00766363;-7.13946e-07;1;0.999968.
100;0.4746;-0.00761426;-6.41941e-06;1;0.999968.
100;0.4689;-0.00769596;-2.56411e-05;1;0.999968.
100;0.4711;-0.00768302;-7.10908e-05;1;0.999967.
100;0.4191;-0.00861566;-0.000159578;1;0.999966.
100;0.375;-0.00964431;-0.000311896;1;0.999965.
100;0.3665;-0.00991284;-0.000552679;1;0.999964.
100;0.3286;-0.0108412;-0.000910241;1;0.999963.
100;0.2938;-0.0124445;-0.00141639;1;0.999962.
100;0.2542;-0.0141511;-0.00210625;1;0.99996.
100;0.2178;-0.0152464;-0.00301801;1;0.999958.
100;0.1876;-0.017065;-0.00419274;1;0.999956.
100;0.1337;-0.0202571;-0.00567415;1;0.999954.
100;0.1098;-0.0223213;-0.00750836;1;0.999951.
100;0.0896;-0.024124;-0.00974368;1;0.999948.
100;0.0553;-0.0287884;-0.0124304;1;0.999944.
100;0.0347;-0.0345144;-0.0156204;0.9999;0.99994.
100;0.0194;-0.0378981;-0.0193672;1;0.999936.
100;0.0106;-0.0443122;-0.0237256;0.9999;0.999931.
100;0.0075;-0.0487961;-0.0287515;1;0.999925.
100;0.0041;-0.0587814;-0.0345016;0.9999;0.999918.
100;0.0023;-0.0650229;-0.0410334;1;0.999911.
100;0.0011;-0.0726443;-0.0484051;1;0.999902.
100;0.0002;-0.0741858;-0.0566749;0.9999;0.999892.
100;0.0001;-0.0921034;-0.0659017;1;0.999881.
100;0;-inf;-0.0761443;1;0.999868.
100;0;-inf;-0.0874614;0.9999;0.999854.
100;0;-inf;-0.0999119;1;0.999837.
100;0;-inf;-0.113554;1;0.999818.
100;0;-inf;-0.128446;1;0.999796.
100;0;-inf;-0.144646;0.9999;0.999771.
100;0;-inf;-0.162212;1;0.999742.
100;0;-inf;-0.181199;0.9997;0.999708.
100;0;-inf;-0.201665;0.9998;0.999669.
100;0;-inf;-0.223666;1;0.999624.
100;0;-inf;-0.247255;1;0.999572.
100;0;-inf;-0.272489;0.9996;0.999511.
100;0;-inf;-0.29942;0.9999;0.999441.
100;0;-inf;-0.328101;0.9996;0.999359.
100;0;-inf;-0.358586;0.9996;0.999264.
100;0;-inf;-0.390924;0.9999;0.999152.
100;0;-inf;-0.425169;0.9988;0.999023.
100;0;-inf;-0.461368;0.9998;0.998871.
100;0;-inf;-0.499572;0.9991;0.998694.
100;0;-inf;-0.539829;0.9992;0.998487.
100;0;-inf;-0.582187;0.9994;0.998244.
100;0;-inf;-0.626692;0.9987;0.997961.
100;0;-inf;-0.673392;0.9989;0.997629.
100;0;-inf;-0.722332;0.9988;0.99724.
100;0;-inf;-0.773556;0.9985;0.996785.
100;0;-inf;-0.827108;0.9971;0.996252.
100;0;-inf;-0.883032;0.9963;0.995629.
100;0;-inf;-0.94137;0.9958;0.9949.
100;0;-inf;-1.00217;0.9976;0.994048.
100;0;-inf;-1.06546;0.9944;0.993053.
100;0;-inf;-1.13129;0.995;0.991892.
100;0;-inf;-1.1997;0.9937;0.990537.
100;0;-inf;-1.27072;0.9921;0.98896.
100;0;-inf;-1.34441;0.9886;0.987126.
100;0;-inf;-1.42078;0.9909;0.984997.
100;0;-inf;-1.49989;0.9838;0.982528.
100;0;-inf;-1.58177;0.9854;0.979671.
100;0;-inf;-1.66645;0.98;0.976372.
100;0;-inf;-1.75397;0.9789;0.972571.
100;0;-inf;-1.84437;0.9736;0.968202.
100;0;-inf;-1.93767;0.964;0.963193.
100;0;-inf;-2.03393;0.9616;0.957465.
100;0;-inf;-2.13316;0.9529;0.950936.
100;0;-inf;-2.2354;0.9493;0.943517.
100;0;-inf;-2.34068;0.9337;0.935114.
100;0;-inf;-2.44904;0.9379;0.925631.
100;0;-inf;-2.56051;0.9189;0.914968.
100;0;-inf;-2.67511;0.8944;0.903028.
100;0;-inf;-2.79289;0.9028;0.889712.
100;0;-inf;-2.91386;0.8725;0.874928.
100;0;-inf;-3.03806;0.8429;0.858589.
100;0;-inf;-3.16552;0.8537;0.840618.
100;0;-inf;-3.29627;0.8135;0.820952.
100;0;-inf;-3.43034;0.8065;0.799546.
100;0;-inf;-3.56775;0.7725;0.776373.
100;0;-inf;-3.70853;0.7476;0.751431.
100;0;-inf;-3.85272;0.6989;0.724746.
100;0;-inf;-4.00033;0.6868;0.696374.
100;0;-inf;-4.15139;0.6554;0.666402.
100;0;-inf;-4.30594;0.611;0.634953.
100;0;-inf;-4.46399;0.608;0.602182.
100;0;-inf;-4.62557;0.5731;0.568281.
100;0;-inf;-4.79072;0.5089;0.533472.
100;0;-inf;-4.95944;0.4702;0.498005.
100;0;-inf;-5.13177;0.4682;0.462157.
100;0;-inf;-5.30774;0.4193;0.426222.
100;0;-inf;-5.48736;0.3787;0.390506.
100;0;-inf;-5.67066;0.3311;0.355319.
100;0;-inf;-5.85767;0.3443;0.320966.
100;0;-inf;-6.0484;0.2927;0.28774.
100;0;-inf;-6.24288;0.2515;0.255912.
100;0;-inf;-6.44114;0.2159;0.225725.
100;0;-inf;-6.6432;0.1789;0.197385.
100;0;-inf;-6.84907;0.1788;0.171056.
100;0;-inf;-7.05878;0.1559;0.146859.
100;0;-inf;-7.27236;0.1261;0.124866.
100;0;-inf;-7.48981;0.1008;0.105103.
100;0;-inf;-7.71118;0.0848;0.0875496.
100;0;-inf;-7.93647;0.0687;0.072145.
100;0;-inf;-8.16571;0.0535;0.0587915.
100;0;-inf;-8.39892;0.0588;0.0473608.
100;0;-inf;-8.63611;0.0467;0.0377019.
100;0;-inf;-8.87732;0.0372;0.0296475.
100;0;-inf;-9.12255;0.0269;0.0230214.
100;0;-inf;-9.37183;0.0193;0.0176457.
100;0;-inf;-9.62518;0.0152;0.0133458.
100;0;-inf;-9.88262;0.011;0.00995605.
100;0;-inf;-10.1442;0.0095;0.00732333.
100;0;-inf;-10.4098;0.0078;0.00530939.
100;0;-inf;-10.6797;0.0037;0.00379256.
100;0;-inf;-10.9536;0.0025;0.00266814.
100;0;-inf;-11.2318;0.0028;0.00184803.
100;0;-inf;-11.5142;0.001;0.00125971.
100;0;-inf;-11.8008;0.0013;0.000844739.
100;0;-inf;-12.0916;0.0012;0.000557061.
100;0;-inf;-12.3867;0.0005;0.000361113.
100;0;-inf;-12.686;0.0004;0.000230025.
100;0;-inf;-12.9897;0.0006;0.000143923.
100;0;-inf;-13.2976;0.0004;8.84173e-05.
100;0;-inf;-13.6099;0;5.33123e-05.
100;0;-inf;-13.9265;0.0001;3.15377e-05.
100;0;-inf;-14.2475;0;1.82966e-05.
100;0;-inf;-14.5728;0;1.04058e-05.
100;0;-inf;-14.9026;0;5.79929e-06.
100;0;-inf;-15.2367;0;3.16584e-06.
100;0;-inf;-15.5753;0;1.69217e-06.
100;0;-inf;-15.9183;0;8.85237e-07.
100;0;-inf;-16.2658;0;4.53065e-07.
100;0;-inf;-16.6178;0;2.26761e-07.
100;0;-inf;-16.9742;0;1.10943e-07.
100;0;-inf;-17.3352;0;5.30366e-08.
100;0;-inf;-17.7006;0;2.47635e-08.
100;0;-inf;-18.0706;0;1.12883e-08.
100;0;-inf;-18.4452;0;5.02153e-09.
100;0;-inf;-18.8243;0;2.17898e-09.
100;0;-inf;-19.208;0;9.21912e-10.
100;0;-inf;-19.5963;0;3.80154e-10.
100;0;-inf;-19.9893;0;1.52712e-10.
100;0;-inf;-20.3868;0;5.97368e-11.
100;0;-inf;-20.789;0;2.27443e-11.
100;0;-inf;-21.1958;0;8.42504e-12.
100;0;-inf;-21.6073;0;3.03491e-12.
100;0;-inf;-22.0235;0;1.06271e-12.
100;0;-inf;-22.4444;0;3.61489e-13.
100;0;-inf;-22.87;0;1.1946e-13.
100;0;-inf;-23.3004;0;3.83027e-14.
100;0;-inf;-23.7355;0;1.19904e-14.
100;0;-inf;-24.1753;0;3.55271e-15.
100;0;-inf;-24.6199;0;1.11022e-15.
100;0;-inf;-25.0693;0;2.22045e-16.
100;0;-inf;-25.5235;0;0.
100;0;-inf;-25.9825;0;0.
100;0;-inf;-26.4463;0;0.
100;0;-inf;-26.9149;0;0.
100;0;-inf;-27.3884;0;0.
100;0;-inf;-27.8668;0;0.
100;0;-inf;-28.35;0;0.
100;0;-inf;-28.8381;0;0.
100;0;-inf;-29.3311;0;0.
100;0;-inf;-29.8291;0;0.
100;0;-inf;-30.332;0;0.
100;0;-inf;-30.8398;0;0.
100;0;-inf;-31.3525;0;0.
100;0;-inf;-31.8702;0;0.
100;0;-inf;-32.3929;0;0.
100;0;-inf;-32.9206;0;0.
100;0;-inf;-33.4533;0;0.
100;0;-inf;-33.991;0;0.
100;0;-inf;-34.5337;0;0.
100;0;-inf;-35.0815;0;0.
100;0;-inf;-35.6343;0;0.
100;0;-inf;-36.1921;0;0.
100;0;-inf;-36.7551;0;0.
100;0;-inf;-37.3231;0;0.
100;0;-inf;-37.8962;0;0.
100;0;-inf;-38.4744;0;0.
100;0;-inf;-39.0578;0;0.
100;0;-inf;-39.6462;0;0.
100;0;-inf;-40.2399;0;0.
100;0;-inf;-40.8386;0;0.
100;0;-inf;-41.4426;0;0.
100;0;-inf;-42.0517;0;0.
100;0;-inf;-42.6659;0;0.
100;0;-inf;-43.2854;0;0.
100;0;-inf;-43.9101;0;0.
100;0;-inf;-44.54;0;0.
100;0;-inf;-45.1752;0;0.
100;0;-inf;-45.8156;0;0.
100;0;-inf;-46.4612;0;0.
100;0;-inf;-47.1121;0;0.
100;0;-inf;-47.7683;0;0.
100;0;-inf;-48.4297;0;0.
100;0;-inf;-49.0965;0;0.
100;0;-inf;-49.7685;0;0.
100;0;-inf;-50.4459;0;0.
100;0;-inf;-51.1285;0;0.
100;0;-inf;-51.8166;0;0.
100;0;-inf;-52.5099;0;0.
100;0;-inf;-53.2087;0;0.
100;0;-inf;-53.9127;0;0.
100;0;-inf;-54.6222;0;0.
100;0;-inf;-55.337;0;0.
100;0;-inf;-56.0573;0;0.
100;0;-inf;-56.7829;0;0.
100;0;-inf;-57.514;0;0.
100;0;-inf;-58.2505;0;0.
100;0;-inf;-58.9924;0;0.
100;0;-inf;-59.7397;0;0.
100;0;-inf;-60.4926;0;0.
100;0;-inf;-61.2508;0;0.
100;0;-inf;-62.0146;0;0.
100;0;-inf;-62.7838;0;0.
100;0;-inf;-63.5586;0;0.
100;0;-inf;-64.3388;0;0.
100;0;-inf;-65.1245;0;0.
100;0;-inf;-65.9158;0;0.
100;0;-inf;-66.7126;0;0.
100;0;-inf;-67.5149;0;0.
100;0;-inf;-68.3228;0;0.
100;0;-inf;-69.1362;0;0.
100;0;-inf;-69.9552;0;0.
100;0;-inf;-70.7798;0;0.
100;0;-inf;-71.6099;0;0.
100;0;-inf;-72.4457;0;0.
100;0;-inf;-73.287;0;0.
100;0;-inf;-74.134;0;0.
100;0;-inf;-74.9866;0;0.
100;0;-inf;-75.8448;0;0.
100;0;-inf;-76.7086;0;0.
100;0;-inf;-77.5781;0;0.
100;0;-inf;-78.4533;0;0.
100;0;-inf;-79.3341;0;0.
100;0;-inf;-80.2206;0;0.
100;0;-inf;-81.1127;0;0.
100;0;-inf;-82.0106;0;0.
100;0;-inf;-82.9141;0;0.
100;0;-inf;-83.8234;0;0.
100;0;-inf;-84.7384;0;0.
100;0;-inf;-85.6591;0;0.
100;0;-inf;-86.5855;0;0.
100;0;-inf;-87.5177;0;0.
100;0;-inf;-88.4556;0;0.
100;0;-inf;-89.3993;0;0.
100;0;-inf;-90.3487;0;0.
100;0;-inf;-91.3039;0;0.
100;0;-inf;-92.2649;0;0.
100;0;-inf;-93.2317;0;0.
100;0;-inf;-94.2043;0;0.
100;0;-inf;-95.1827;0;0.
100;0;-inf;-96.1669;0;0.
100;0;-inf;-97.1569;0;0.
100;0;-inf;-98.1527;0;0.
100;0;-inf;-99.1544;0;0.
100;0;-inf;-100.162;0;0.
100;0;-inf;-101.175;0;0.
100;0;-inf;-102.195;0;0.
100;0;-inf;-103.22;0;0.
100;0;-inf;-104.251;0;0.
100;0;-inf;-105.288;0;0.
100;0;-inf;-106.33;0;0.
100;0;-inf;-107.379;0;0.
100;0;-inf;-108.434;0;0.
100;0;-inf;-109.494;0;0.
100;0;-inf;-110.56;0;0.
100;0;-inf;-111.633;0;0.
100;0;-inf;-112.711;0;0.
100;0;-inf;-113.795;0;0.
100;0;-inf;-114.885;0;0.
100;0;-inf;-115.982;0;0.
100;0;-inf;-117.084;0;0.
100;0;-inf;-118.192;0;0.
100;0;-inf;-119.306;0;0.
100;0;-inf;-120.426;0;0.
100;0;-inf;-121.552;0;0.
100;0;-inf;-122.684;0;0.
100;0;-inf;-123.822;0;0.
100;0;-inf;-124.966;0;0.
100;0;-inf;-126.116;0;0.
100;0;-inf;-127.272;0;0.
100;0;-inf;-128.435;0;0.
100;0;-inf;-129.603;0;0.
100;0;-inf;-130.777;0;0.
100;0;-inf;-131.957;0;0.
100;0;-inf;-133.144;0;0.
100;0;-inf;-134.336;0;0.
100;0;-inf;-135.535;0;0.
100;0;-inf;-136.74;0;0.
100;0;-inf;-137.95;0;0.
100;0;-inf;-139.167;0;0.
100;0;-inf;-140.39;0;0.
100;0;-inf;-141.619;0;0.
100;0;-inf;-142.855;0;0.
100;0;-inf;-144.096;0;0.
100;0;-inf;-145.343;0;0.
100;0;-inf;-146.597;0;0.
100;0;-inf;-147.857;0;0.
100;0;-inf;-149.123;0;0.
100;0;-inf;-150.395;0;0.
100;0;-inf;-151.673;0;0.
100;0;-inf;-152.958;0;0.
